Hand,XPos,YPos,ZPos,Time
Right,0,0,0,0
Left,0,0,0,0.1591309
Right,0,0,0,0.1591309
Left,0,0,0,0.202897
Right,0,0,0,0.202897
Left,0,0,0,0.2244098
Right,0,0,0,0.2244098
Left,0,0,0,0.2552707
Right,0,0,0,0.2552707
Left,0,0,0,0.2801015
Right,0,0,0,0.2801015
Left,0,0,0,0.3066322
Right,0,0,0,0.3066322
Left,0,0,0,0.3304186
Right,0,0,0,0.3304186
Left,0,0,0,0.3550578
Right,0,0,0,0.3550578
Left,0,0,0,0.3824813
Right,0,0,0,0.3824813
Left,0,0,0,0.4056558
Right,0,0,0,0.4056558
Left,0,0,0,0.4263001
Right,0,0,0,0.4263001
Left,0,0,0,0.4457019
Right,0,0,0,0.4457019
Left,0,0,0,0.4653968
Right,0,0,0,0.4653968
Left,0,0,0,0.4851551
Right,0,0,0,0.4851551
Left,0,0,0,0.5198315
Right,0,0,0,0.5198315
Left,0,0,0,0.5384506
Right,0,0,0,0.5384506
Left,0.078,0,0,0.5679654
Right,0,0,0,0.5679654
Left,0.289,0,0,0.6048158
Right,0,0,0,0.6048158
Left,0.471,0,0,0.6329823
Right,0,0,0,0.6329823
Left,0.605,0,0,0.6610788
Right,0,0,0,0.6610788
Left,0.65,0,0,0.6863966
Right,0,0,0,0.6863966
Left,0.654,0,0,0.7094002
Right,0,0,0,0.7094002
Left,0.654,0,0,0.7288228
Right,0,0,0,0.7288228
Left,0.654,0,0,0.7583401
Right,0,0,0,0.7583401
Left,0.63,0,0,0.7829334
Right,0,0,0,0.7829334
Left,0.551,0,0,0.8084105
Right,0,0,0,0.8084105
Left,0.395,0,0,0.8343253
Right,0,0,0,0.8343253
Left,0.184,0,0,0.8607199
Right,0,0,0,0.8607199
Left,0.064,0,0,0.8861469
Right,0,0,0,0.8861469
Left,0.043,0,0,0.9171064
Right,0,0,0,0.9171064
Left,0.043,0,0,0.9359477
Right,0,0,0,0.9359477
Left,0.043,0,0,0.9546143
Right,0,0,0,0.9546143
Left,0.071,0,0,0.9776363
Right,0,0,0,0.9776363
Left,0.174,0,0,1.00331
Right,0,0,0,1.00331
Left,0.376,0,0,1.029326
Right,0,0,0,1.029326
Left,0.71,0,0,1.064724
Right,0,0,0,1.064724
Left,0.867,0,0,1.090883
Right,0,0,0,1.090883
Left,0.9,0,0,1.116501
Right,0,0,0,1.116501
Left,0.9,0,0,1.137604
Right,0,0,0,1.137604
Left,0.9,0,0,1.158072
Right,0,0,0,1.158072
Left,0.9,0,0,1.178456
Right,0,0,0,1.178456
Left,0.88,0,0,1.211307
Right,0,0,0,1.211307
Left,0.736,0,0,1.237747
Right,0,0,0,1.237747
Left,0.526,0,0,1.262394
Right,0,0,0,1.262394
Left,0.282,0,0,1.288781
Right,0,0,0,1.288781
Left,0.108,0,0,1.314789
Right,0,0,0,1.314789
Left,0.026,0,0,1.340289
