Time,XPos,ZPos,YRot,Raycast
0.1810336,0,0,0,Wound
0.3447052,0,0,0,Wound
0.5047483,0,0,0,Wound
0.6729001,0,0,0,Wound
0.841612,0,0,0,Wound
1.00214,0,0,0,Wound
1.165143,0,0,0,Wound
1.324831,0,0,0,Wound
1.486103,0,0,0,Wound
1.651083,0,0,0,Wound
1.82312,0,0,0,Wound
1.992547,0,0,0,Wound
2.154441,0,0,0,Wound
2.326963,0,0,0,Wound
2.487061,0,0,0,Wound
2.650826,0,0,0,Wound
2.81431,0,0,0,Wound
2.976793,0,0,0,Wound
3.139247,0,0,0,Wound
3.302767,0,0,0,Wound
3.471892,0,0,0,Wound
3.637294,0,0,0,Wound
3.797578,0,0,0,Wound
3.960767,0,0,0,Wound
4.124372,0,0,0,Wound
4.291491,0,0,0,Wound
4.45735,0,0,0,Wound
4.618569,0,0,0,Wound
4.780998,0,0,0,Wound
4.946045,0,0,0,Wound
5.109655,0,0,0,Wound
5.271702,0,0,0,Wound
5.43546,0,0,0,Wound
5.596379,0,0,0,Wound
5.756913,0,0,0,Wound
5.920234,0,0,0,Wound
6.080074,0,0,0,Wound
6.242883,0,0,0,Wound
6.406189,0,0,0,Wound
6.574451,0,0,0,Wound
6.736998,0,0,0,Wound
6.898434,0,0,0,Wound
7.064069,0,0,0,Wound
7.227377,0,0,0,Wound
7.393218,0,0,0,Wound
7.558115,0,0,0,Wound
7.718871,0,0,0,Wound
7.882038,0,0,0,Wound
8.042991,0,0,0,Wound
8.205255,0,0,0,Wound
8.367453,0,0,0,Wound
8.531548,0,0,0,Wound
8.692869,0,0,0,Wound
8.856278,0,0,0,Wound
9.021806,0,0,0,Wound
9.184582,0,0,0,Wound
9.346676,0,0,0,Wound
9.519795,0,0,0,Wound
9.681296,0,0,0,Wound
9.843518,0,0,0,Wound
10.00578,0,0,0,Wound
10.17181,0,0,0,Wound
10.33723,0,0,0,Wound
10.50671,0,0,0,Wound
10.67203,0,0,0,Wound
10.84075,0,0,0,Wound
11.00199,0,0,0,Wound
11.16634,0,0,0,Wound
11.32808,0,0,0,Wound
11.49038,0,0,0,Wound
11.65637,0,0,0,Wound
11.82024,0,0,0,Wound
11.98761,0,0,0,Wound
12.15475,0,0,0,Wound
12.31741,0,0,0,Wound
12.48402,0,0,0,Wound
12.64993,0,0,0,Wound
12.81344,0,0,0,Wound
12.97659,0,0,0,Wound
13.1414,0,0,0,Wound
13.30026,0,0,0,Wound
13.4612,0,0,0,Wound
13.62718,0,0,0,Wound
13.78679,0,0,0,Wound
13.95079,0,0,0,Wound
14.11349,0,0,0,Wound
14.27715,0,0,0,Wound
14.43749,0,0,0,Wound
14.59964,0,0,0,Wound
14.76242,0,0,0,Wound
14.92549,0,0,0,Wound
15.08592,0,0,0,Wound
15.24736,0,0,0,Wound
15.41108,0,0,0,Wound
15.57797,0,0,0,Wound
15.74061,0,0,0,Wound
15.90618,0,0,0,Wound
16.07347,0,0,0,Wound
16.2391,0,0,0,Wound
16.40212,0,0,0,Wound
16.56449,0,0,0,Wound
16.72527,0,0,0,Wound
16.89116,0,0,0,Wound
17.05674,0,0,0,Wound
17.21987,0,0,0,Wound
17.38457,0,0,0,Wound
17.55187,0,0,0,Wound
17.71685,0,0,0,Wound
17.88495,0,0,0,Wound
18.04792,0,0,0,Wound
18.211,0,0,0,Wound
18.37279,0,0,0,Wound
18.53698,0,0,0,Wound
18.70112,0,0,0,Wound
18.86397,0,0,0,Wound
19.02402,0,0,0,Wound
19.1843,0,0,0,Wound
19.34798,0,0,0,Wound
19.51114,0,0,0,Wound
19.67361,0,0,0,Wound
19.84001,0,0,0,Wound
20.00665,0,0,0,Wound
20.17059,0,0,0,Wound
20.3339,0,0,0,Wound
20.49848,0,0,0,Wound
20.66265,0,0,0,Wound
20.82406,0,0,0,Wound
20.98763,0,0,0,Wound
21.15187,0,0,0,Wound
21.31538,0,0,0,Wound
21.47913,0,0,0,Wound
21.64352,0,0,0,Wound
21.80505,0,0,0,Wound
21.9671,0,0,0,Wound
22.12977,0,0,0,Wound
22.2921,0,0,0,Wound
22.45856,0,0,0,Wound
22.62082,0,0,0,Wound
22.78647,0,0,0,Wound
22.95363,0,0,0,Wound
23.12192,0,0,0,Wound
23.2868,0,0,0,Wound
23.44975,0,0,0,Wound
23.61431,0,0,0,Wound
23.77817,0,0,0,Wound
23.94593,0,0,0,Wound
24.11515,0,0,0,Wound
24.27871,0,0,0,Wound
24.47642,0,0,0,Wound
24.63869,0,0,0,Wound
24.8054,0,0,0,Wound
24.97369,0,0,0,Wound
25.13299,0,0,0,Wound
25.29547,0,0,0,Wound
25.46141,0,0,0,Wound
25.62659,0,0,0,Wound
25.78848,0,0,0,Wound
25.95484,0,0,0,Wound
26.11917,0,0,0,Wound
26.28182,0,0,0,Wound
26.44779,0,0,0,Wound
26.61325,0,0,0,Wound
26.77477,0,0,0,Wound
26.93823,0,0,0,Wound
27.09967,0,0,0,Wound
27.30242,0,0,0,Wound
27.46502,0,0,0,Wound
27.63092,0,0,0,Wound
27.79454,0,0,0,Wound
27.98067,0,0,0,Wound
28.15124,0,0,0,Wound
28.31782,0,0,0,Wound
28.48417,0,0,0,Wound
28.65093,0,0,0,Wound
28.81412,0,0,0,Wound
28.9775,0,0,0,Wound
29.14495,0,0,0,Wound
29.30804,0,0,0,Wound
29.47323,0,0,0,Wound
29.63435,0,0,0,Wound
29.80244,0,0,0,Wound
29.96598,0,0,0,Wound
30.12756,0,0,0,Wound
30.28893,0,0,0,Wound
30.45382,0,0,0,Wound
30.61607,0,0,0,Wound
30.78265,0,0,0,Wound
30.94667,0,0,0,Wound
31.10989,0,0,0,Wound
31.27112,0,0,0,Wound
31.43482,0,0,0,Wound
31.59706,0,0,0,Wound
31.759,0,0,0,Wound
31.92061,0,0,0,Wound
32.08312,0,0,0,Wound
32.24543,0,0,0,Wound
32.40857,0,0,0,Wound
32.57106,0,0,0,Wound
32.73314,0,0,0,Wound
32.89589,0,0,0,Wound
33.05989,0,0,0,Wound
33.22777,0,0,0,Wound
33.39148,0,0,0,Wound
33.55806,0,0,0,Wound
33.72155,0,0,0,Wound
33.88253,0,0,0,Wound
34.04515,0,0,0,Wound
34.2067,0,0,0,Wound
34.37051,0,0,0,Wound
34.53482,0,0,0,Wound
34.70539,0,0,0,Wound
34.86909,0,0,0,Wound
35.03701,0,0,0,Wound
35.20025,0,0,0,Wound
35.3631,0,0,0,Wound
35.53128,0,0,0,Wound
35.69321,0,0,0,Wound
35.86049,0,0,0,Wound
36.02347,0,0,0,Wound
36.19102,0,0,0,Wound
36.35656,0,0,0,Wound
36.51673,0,0,0,Wound
36.68964,0,0,0,Wound
36.84793,0,0,0,Wound
37.00807,0,0,0,Wound
37.17734,0,0,0,Wound
37.34505,0,0,0,Wound
37.52688,0,0,0,Wound
37.69542,0,0,0,Wound
37.85625,0,0,0,Wound
38.02195,0,0,0,Wound
38.18241,0,0,0,Wound
38.34118,0,0,0,Wound
38.50303,0,0,0,Wound
38.6651,0,0,0,Story
38.83142,0,0,0,Story
39.00051,0,0,0,Story
39.16378,0,0,0,Story
39.32679,0,0,0,Story
39.4845,0,0,0,Story
39.6497,0,0,0,Story
39.80795,0,0,0,Story
39.96688,0,0,0,Story
40.12552,0,0,0,Story
40.28534,0,0,0,Story
40.44622,0,0,0,Story
40.61462,0,0,0,Story
40.78079,0,0,0,Wound
40.94854,0,0,0,Wound
41.10611,0,0,0,Wound
41.26501,0,0,0,Wound
41.4251,0,0,0,Wound
41.58494,0,0,0,Wound
41.74832,0,0,0,Wound
41.91247,0,0,0,Story
42.07405,0,0,0,Story
42.23705,0,0,0,Story
42.39518,0,0,0,Story
42.55683,0,0,0,Story
42.72178,0,0,0,Story
42.87959,0,0,0,Story
43.0397,0,0,0,Story
43.20314,0,0,0,Story
43.36801,0,0,0,Story
43.52694,0,0,0,Story
43.6861,0,0,0,Story
43.84491,0,0,0,Story
44.00346,0,0,0,Story
44.16482,0,0,0,Story
44.32885,0,0,0,Story
44.48652,0,0,0,Story
44.64911,0,0,0,Story
44.81435,0,0,0,Story
44.97919,0,0,0,Story
45.14134,0,0,0,Story
45.30563,0,0,0,Story
45.47067,0,0,0,Story
45.63387,0,0,0,Story
