Time,XPos,ZPos
0.214227,0,0
0.4244486,0,0
0.6353823,0,0
0.8481524,0,0
1.056969,0,0
1.268019,0,0
1.480551,0,0
1.690372,0.1340027,0
1.90435,0.7519989,0
2.117539,1.209999,0
2.32969,1.317001,0
2.541859,1.477997,0
2.753188,1.505997,0
2.961535,1.101997,0
3.174786,0.439003,0
3.385051,-0.01799774,0
3.59153,-0.5479965,0
3.808631,-1.041,0
4.019604,-1.516998,0
4.233228,-1.954002,0
4.445617,-2.320999,0
4.654577,-2.657997,0
4.862144,-2.804001,0
5.072395,-2.076996,0
5.282887,-1.129997,0
5.497321,-0.5169983,0
5.710051,0.2470016,0
5.926867,0.6930008,0
6.136681,1,0
6.352499,-0.8290024,0
6.563425,-2.013,0
6.777865,-2.551003,0
6.987122,-2.788002,0
7.198946,-2.788002,0
7.409687,-2.788002,0
7.636428,-2.788002,0.8410034
7.850379,-2.788002,1.521004
8.060105,-2.788002,1.941002
8.273643,-2.788002,1.381004
8.486811,-2.788002,0.3210068
8.700719,-2.788002,-0.6529999
8.910954,-2.788002,-1.308998
9.123083,-2.788002,-1.945999
9.330812,-2.788002,-2.046997
9.544081,-2.788002,-0.6499939
9.753086,-2.788002,0.1610031
9.966929,-2.788002,1.281006
10.176,-2.788002,1.551003
10.38707,-2.788002,0.3510056
10.60129,-2.788002,-0.8499985
10.81176,-2.788002,-1.505997
11.0211,-2.788002,-1.823997
11.23184,-2.788002,-1.275993
11.44743,-2.788002,-0.8869934
11.65656,-2.788002,-0.8869934
11.86756,-2.788002,-0.8869934
12.07629,-2.788002,-0.8869934
